,word,num1,num2,num3,num4,num5,rel1,rel2,rel3,rel4,rel5
0,belligerence,0.0,0.139,0.736,-0.668,-0.422,belligerent,belligerency,bad_blood,animus,warpath
1,extra_tyre,0.686,0.526,0.0,0.812,0.675,boot,put_groceries,car_trunk,store,storage_place
2,use_match,0.215,0.194,-0.204,0.279,0.161,diligence,gather_kindle,combustible_material,rub_two_stick_together,lighter
3,abductor_muscle,0.934,-0.62,0.0,0.79,0.781,voluntary_muscle,deltoid,muscle,abductor,skeletal_muscle
4,regularize,-0.91,0.0,0.637,-0.598,-0.715,gauge,govern,regulate,standardize,order
5,scold,0.0,0.0,-0.871,0.0,-0.29,reprimand,jail_time,feel_stressed,go_to_prison,feel_anger
6,professional_athlete,0.0,0.0,0.0,0.97,0.323,increase_strength,keep_fit,fit_person,exercise,strengthen_heart
7,dog_like,0.033,0.076,0.0,0.066,0.058,baby_dog,most_dogs,puppet,dog,boyfriend
8,feel_anger,-0.296,-0.035,-0.237,-0.225,-0.241,arrest_police,feel_remorse,end_life,seek_revenge,call_help
9,pigment,0.0,0.0,0.0,0.098,0.033,cobalt,many_shades,cyan,green_yellow,tint
10,capoeira,-0.061,-0.003,-0.092,0.0,-0.05,madman,trouble,agony,cause_problem,river_stream
11,medicament,0.701,-0.767,0.0,0.904,0.791,curative,heal,medicine,get_cured,take_care
12,add_up_column_number,0.0,0.083,0.039,0.074,0.039,compute_sum,add_up_number,calculate_quickly,program_computer,write_program
13,bind_book,-0.063,0.0,0.013,0.0,-0.025,dry_hair,refrigerate,scrub_floor,remove_paint,mow_grass
14,wooded,-0.863,0.0,0.665,-0.616,-0.715,brambly,braky,rushy,scrubby,forested
15,crotch,0.0,0.0,0.0,-0.068,-0.023,body,nervous_system,normal_human_body,human_body,head_shoulder
16,dairy_product,0.057,0.0,0.018,0.058,0.032,porridge,food_item,milk,food,morning_food
17,pocketbook_issue,0.648,-0.873,0.0,0.597,0.706,gut_issue,content,paramount_issue,issue,quodlibet
18,big_fire,-0.025,-0.012,-0.078,-0.124,-0.072,grow_yard,stain_clothes,burn,set_on_fire,chemical_process
19,second_childhood,-0.855,0.0,0.586,-0.792,-0.744,age,old_age,years,eld,geezerhood
20,turn_key,-0.092,0.0,0.0,0.0,-0.031,start_engine,open_car_door,put_key_ignition,turn_car_off,free_prisoner
21,culpable_negligence,-0.691,0.0,0.516,-0.966,-0.724,criminal_negligence,negligence,evasion,dereliction,contributory_negligence
