,word,hash1,hash2,rel1,rel2,rel3,rel4,rel5
0,fawn,#scared,#disgusting,crawl,dun,toady,creep,grovel
1,originality,#interesting,#admirable,novelty,innovativeness,freshness,ability,power
2,change_behavior,#joyful,#interesting,felony,vengeance,restrict_freedom,revenge,commit_crime
3,hallucinate,#sad,#scared,change_mind,think_sex,invigorate,alter_state_consciousness,loss_of_consciousness
4,wooden,#interesting,#admirable,wooden_board,make_wood,wooden_box,wooden_floor,long_wood
5,succumb,#sad,#scared,give_in,submit,accept,defer,yield
6,desire_succeed,#joyful,#interesting,love,love_another_person,lust,passion,sexuality
7,keep_eye_open,#surprising,#joyful,laugh_out_loud,ask_permission,tell_others,start_laugh,laugh
8,insecurity,#sad,#scared,misgiving,qualm,scruple,insecurely,insecure
9,convert_energy,#interesting,#admirable,energy,tai_chi,emotion,human_emotion,sentiment
10,want,#joyful,#admirable,need,requisite,must,desideratum,help
11,power_drill,#admirable,#interesting,air_pump,chisel,drill_bite,knife,screwdriver
12,modest,#admirable,#joyful,minor,meek,low,humble,small
13,character_play,#surprising,#admirable,coincidence,math_homework,sign_autograph,role,write
14,hold_sign,#angry,#disgusting,political_statement,go_against,picket,anti,petition
15,fig,#joyful,#interesting,fruit_tree,baby_flower,carpel,strawberry,star_anise
16,dress_room,#surprising,#joyful,try_clothes,fitting_room,changing_room,jeans,clothes_shelf
17,confute,#interesting,#joyful,controvert,refute,confutation,negate,rebut
18,finger_paint,#joyful,#admirable,play_on_grass,become_adult,play_hide_seek,play_paint,like_boy
19,outburst,#angry,#disgusting,cry,acting_out,explosion,halloo,yell
20,flickering,#angry,#disgusting,aflicker,quiver,flitter,flutter,waver
21,disturbed,#sad,#scared,disquieted,distressing,disturbing,perturbing,troubling
22,loudness,#interesting,#admirable,decibel,noise,loud_soft,sound,audio
23,calculate_quickly,#sad,#angry,add_up_number,add_up_column_number,compute_sum,program_computer,write_program
24,feeling,#interesting,#joyful,hormone,32_teeth,gone_moon,competitive_nature,two_ears
25,musical_symbol,#joyful,#interesting,music_part,musical_notation,music_sound,piece_of_music,musical_term
26,move_sidewalk,#joyful,#surprising,baggage,passenger_ticket,air_ticket,hand_luggage,aircraft_roadway
27,limitless,#interesting,#admirable,heavenly_body,star_planet,celestial_body,around_earth,unlimited
28,reverence,#interesting,#admirable,reverently,hero-worship,venerate,idolize,veneration
29,fluster,#angry,#disgusting,unsettle,discomfit,discompose,faze,upset
30,fish_lake,#disgusting,#scared,fish_trout,catch_butterfly,sea_bass,fish_compliment,fish_stream
31,rich,#joyful,#interesting,business,finance,revenue,wealth,income
32,sensitivity,#angry,#disgusting,oversensitive,touchy,huffy,feisty,hard
33,service_car,#joyful,#interesting,marry_man,date_woman,oil_hinge,man_post,date_man
34,mortified,#sad,#scared,humiliated,mortifying,self-hatred,self-disgust,shameful
35,catch_wind,#angry,#disgusting,water_vehicle,big_boat,boat_type,small_boat,large_boat
36,tan_lotion,#joyful,#admirable,suntan_lotion,hair_conditioner,dandruff_shampoo,hair_shape_gel,fluoride_toothpaste
37,employ,#interesting,#joyful,police_work,career,task,employment,labor
38,breakfast,#joyful,#interesting,scrumble_egg,heat_meal,pan,beat_egg,food
39,ability_communicate,#admirable,#interesting,convey_information,know_language,fact_straight,know_talk,use_language
40,split,#interesting,#joyful,separation,divide,division,slash,bagle
41,weapon_war,#sad,#disgusting,tool_war,machine_gun,weapon,firearm,handgun
42,without_human_habitation,#sad,#disgusting,cold_weather,snow,ice,cold,arctic
43,celestial_object,#surprising,#admirable,heavenly_body,around_earth,source_light,sol,celestial_body
44,beloved,#joyful,#admirable,lust,passion,love,love_another_person,wonderful_feeling
45,reach_destination,#joyful,#admirable,mission_accomplished,get_somewhere,get_to_another_place,get_to_destination,get_place
46,survival,#joyful,#interesting,sustain_life,sustenance,nutrition,keep_alive,satisfy_hunger
47,shadow,#sad,#disgusting,evil,darkness,dark,sun_down,dark_side
48,fruit_tree,#joyful,#admirable,fig,baby_flower,carpel,strawberry,star_anise
49,captive,#sad,#scared,jailbird,prisoner,imprisoned,convict,inmate
50,billboard,#joyful,#interesting,advertisement,large_outdoor_board,motorway,expressway,train_track
51,get_train,#sad,#disgusting,run_out_gas,stop_red_light,shift_gear,traveling_destination,automobile_accident
52,anagram,#interesting,#admirable,foot_motion,foot_action,foot_movement,stride,pace
53,restlessness,#sad,#scared,impatiently,raring,anxious,fidgetiness,fretful
54,acid_indigestion,#scared,#disgusting,choke,become_full,get_full,burp,sickness
55,bobby_pin,#surprising,#admirable,barrette,hairpin,hair_dryer,hair_clip,curl_iron
56,perfumed,#admirable,#surprising,aromatize,odoriferous,sweet,scent,odorous
57,incinerator,#interesting,#admirable,burn_garbage,eliminate_garbage,incinerate_waste,dump,garbage_dump
58,martian,#joyful,#interesting,ufo,milky,space_junk,galaxy,solar_system
59,minibar,#joyful,#interesting,alcohol,porter,concierge,beer_mug,bar_stool
60,unnerve,#angry,#disgusting,upset,faze,discompose,discomfit,disconcert
61,soft_heart,#interesting,#admirable,softhearted,softheartedness,generous,empathetically,empathic
62,ointment,#sad,#scared,peanut,leave_over,floppy,circular_motion,store_vegetable
63,chair,#angry,#disgusting,sofa_bed,small_seat,beanbag_airline_seat,hide-a-bed_sofa,airline_seat
64,increase_net_worth,#interesting,#admirable,get_job_done,receive_paycheck,earn_paycheck,support_family,enjoy_salary
65,a_lot_of_fat,#angry,#disgusting,overweight,obese,gross,roly-poly,heavy
66,tenacious,#joyful,#interesting,retentive,long,dogged,dour,recollective
67,fight_against,#sad,#disgusting,combat,uprise,big_fight,opposition,violence
68,necessary_life,#interesting,#admirable,essential_human_life,warm_air,vitality,flatulence,power_source
69,celebrated,#admirable,#interesting,observe,keep,famed,notable,renowned
70,restiveness,#sad,#scared,jumpiness,jitteriness,restive,nervy,jumpy
71,abash,#sad,#angry,awkward,unenviable,embarrassingly,embarrassing,sheepish
72,abase,#sad,#scared,mortify,embarrassed,self-hatred,self-disgust,humiliated
73,abortion,#sad,#scared,death,feticide,sickness,miscarriage,spontaneous_abortion
74,parachute,#sad,#disgusting,undergarment,outerwear,lady_underwear,under_garment,slip
75,brainless,#angry,#disgusting,idiotic,stupid,dumb,idiot,dummy
76,touch_toe,#interesting,#admirable,elasticity,elastic,stretch,flexibility,elongate
77,mango,#admirable,#joyful,green_apple,apricot,lime,peach,cherry
78,find_church,#admirable,#joyful,open,control_access,cost_a_lot_of_money,restrict_access,keep_someone_out
79,quarter,#interesting,#admirable,dime,nickel,metal_money,coin,penny_dime
80,end_live,#sad,#scared,get_rid_of_enemy,hurt_others,murder,self_defense,death_destruction
81,receipt,#interesting,#admirable,invoice,bill,check,mastercard,payment_counter
82,seriously,#sad,#scared,devout,earnestness,earnestly,seriousness,in_earnest
83,hairdresser,#joyful,#admirable,hair,haircut,hairdresser_chair,scissor,hairstyle
84,two_parts,#interesting,#joyful,double,single,two_lines,split,enumeration
85,quibble,#scared,#disgusting,niggle,quiddity,bicker,pettifog,cavil
86,enjoy_entertainment,#surprising,#joyful,waste_time,see_new_place,recommend,expand_horizon,stimulate_mind
87,erudition,#admirable,#joyful,encyclopedism,learning,scholarship,learnedness,eruditeness
88,city_area,#surprising,#admirable,govern_city,large_town,city_life,large_building,downtown
89,opposite,#sad,#disgusting,contrary,contradiction,lie,liar,bad_person
90,come_up_new_idea,#joyful,#interesting,come_conclusion,invention,resolve_problem,come_up_idea,figure_out
91,jittery,#sad,#scared,high-strung,uptight,restive,overstrung,nervy
92,buy_goods_service,#joyful,#interesting,go_cashless,pay_goods,incur_debt,postpone_payment,buy_item
93,morose,#scared,#disgusting,moody,dour,glum,dark,glowering
94,see_countryside,#joyful,#interesting,sightsee,camera,electronics_device,charge_battery,go_to_another_place
95,box_ring,#scared,#disgusting,convention,prisoner_war_camp,rave,gift_shop,dark_alley
96,curt,#disgusting,#angry,discourteous,brusque,brusk,abrupt,unceremonious
97,line_up,#interesting,#joyful,find_end_line,come_early,find_line,take_number,wait_patiently
98,abject,#sad,#disgusting,resignedly,unhopeful,abjectly,resignation,reconcile
